,customerID,proba
0,7590-VHVEG,0.6701088
1,6713-OKOMC,0.21764234
2,7469-LKBCI,0.01419164
3,8779-QRDMV,0.90148264
4,1680-VDCWW,0.06024627
5,1066-JKSGK,0.3933177
6,8665-UTDHZ,0.5343868
7,7310-EGVHZ,0.40531847
8,9867-JCZSP,0.029269706
9,0278-YXOOG,0.14457926
10,6380-ARCEH,0.3933177
11,3679-XASPY,0.31250578
12,6180-YBIQI,0.35508603
13,2928-HLDBA,0.12585467
14,7219-TLZHO,0.16274899
15,3930-ZGWVE,0.36517975
16,3091-FYHKI,0.84916776
17,6837-BJYDQ,0.042838156
18,3077-RSNTJ,0.15245163
19,7554-NEWDD,0.02078684
20,2907-ILJBN,0.038206536
21,1159-WFSGR,0.106718294
22,6317-YPKDH,0.51976854
23,1024-GUALD,0.7183538
24,8167-GJLRN,0.3664257
25,0956-SYCWG,0.046209026
26,3645-DEYGF,0.2956523
27,4195-NZGTA,0.5625897
28,6469-MRVET,0.20627466
29,5961-VUSRV,0.05554175
30,0621-JFHOL,0.030025603
31,9227-UAQFT,0.01294855
32,9514-JDSKI,0.70878214
33,3675-YDUPJ,0.15033087
34,7273-TEFQD,0.78417736
35,6366-ZGQGL,0.50691015
36,2080-SRCDE,0.23740675
37,1563-IWQEX,0.11694008
38,8203-XJZRC,0.2956523
39,1098-TDVUQ,0.3217187
40,9498-FIMXL,0.054697916
41,0623-IIHUG,0.5342154
42,9294-TDIPC,0.12397865
43,7302-ZHMHP,0.16100998
44,6158-HDPXZ,0.46211612
45,4895-TMWIR,0.13540825
46,9967-ATRFS,0.054707803
47,9442-JTWDL,0.032733265
48,5495-GPSRW,0.010688452
49,4800-VHZKI,0.47148514
50,7989-CHGTL,0.4740429
51,2233-FAGXV,0.1460349
52,8111-BKVDS,0.25810292
53,4237-CLSMM,0.112308845
54,4719-UMSIY,0.1276565
55,4933-IKULF,0.03593081
56,0486-LGCCH,0.010830748
57,6579-JPICP,0.2956523
58,6235-VDHOM,0.43398082
59,1135-LMECX,0.36594063
60,7531-GQHME,0.091215104
61,2866-IKBTM,0.334993
62,8138-EALND,0.11343079
63,2654-VBVPB,0.37869152
64,7343-EOBEU,0.20240702
65,0308-IVGOK,0.13633963
66,2640-LYMOV,0.15739378
67,1218-VKFPE,0.12745586
68,1423-BMPBQ,0.3525716
69,2393-DIVAI,0.13926715
70,8752-IMQOS,0.03931383
71,5173-ZXXXL,0.035849795
72,6543-CPZMK,0.5066194
73,6464-KEXXH,0.2991625
74,4881-JVQOD,0.2964688
75,5148-HKFIR,0.009194857
76,1009-IRMNA,0.1770438
77,7665-VIGUD,0.04021844
78,8404-VLQFB,0.109624766
79,1140-UKVZG,0.09933257
80,4160-AMJTL,0.23461227
81,4464-JCOLN,0.11013215
82,5650-VDUDS,0.5478988
83,3030-ZKIWL,0.34375906
84,0822-GAVAP,0.8738879
85,8262-COGGB,0.3180833
86,2480-JZOSN,0.37684438
87,6942-LBFDP,0.1965417
88,1029-QFBEN,0.33426255
89,4697-LUPSU,0.09090883
90,6549-YMFAW,0.1272266
91,6621-YOBKI,0.12397865
92,3115-CZMZD,0.013739497
93,0030-FNXPP,0.1868917
94,4013-GUXND,0.312197
95,4718-DHSMV,0.35823053
96,7817-OMJNA,0.038699158
97,7706-DZNKK,0.07541831
98,3900-AQPHZ,0.3597008
99,9505-SQFSW,0.31787607
100,5726-CVNYA,0.015987692
101,6286-ZHAOK,0.061384067
102,3807-XHCJH,0.3472605
103,4785-NKHCX,0.2406607
104,9146-JRIOX,0.10237028
105,1038-ZAGBI,0.076986514
106,6549-NNDYT,0.29334015
107,0422-OHQHQ,0.032376047
108,2316-ESMLS,0.06272256
109,8713-IGZSO,0.15125266
110,2732-ISEZX,0.13299866
111,0323-XWWTN,0.018744418
112,3050-GBUSH,0.66287726
113,4661-NJEUX,0.44109774
114,9227-LUNBG,0.60552967
115,1051-GEJLJ,0.32543287
116,4694-PHWFW,0.123361155
117,5993-BQHEA,0.034243632
118,8942-DBMHZ,0.0791885
119,4198-VFOEA,0.073717564
120,0347-UBKUZ,0.08373402
121,0811-GSDTP,0.16707867
122,6231-WFGFH,0.11095325
123,2826-DXLQO,0.32337838
124,4378-BZYFP,0.025930287
125,4541-RMRLG,0.18373391
126,7764-BDPEE,0.1365489
127,3318-ISQFQ,0.08209734
128,3717-OFRTN,0.32882854
129,9108-EQPNQ,0.018653164
130,7277-KAMWT,0.009946256
131,7047-YXDMZ,0.03944412
132,3748-FVMZZ,0.52948767
133,1915-OAKWD,0.05194121
134,8329-IBCTI,0.36057886
135,3845-JHAMY,0.24971613
136,5669-SRAIP,0.54395276
137,2111-DWYHN,0.24802716
138,4367-NUYAO,0.017979331
139,9578-FOMUK,0.10176711
140,4712-UYOOI,0.078080826
141,3156-QLHBO,0.17934802
142,3082-WQRVY,0.051550776
143,1641-BYBTK,0.0888271
144,0841-NULXI,0.84916776
145,8992-CEUEN,0.14742199
146,5868-CZJDR,0.6397134
147,5562-BETPV,0.09059198
148,0107-WESLM,0.5102447
149,8944-AILEF,0.094704725
