,CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,m6_Revenue,LTV_Cluster,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value
0,14620.0,12,3,30,0,393.28000000000003,0,3,0.0,0,0,0,1
1,18044.0,5,3,57,0,808.9599999999997,0,3,991.54,0,0,0,1
2,18075.0,12,3,35,0,638.1200000000002,0,3,1322.7500000000002,0,0,0,1
3,15241.0,0,3,64,0,947.55,0,3,791.04,0,0,0,1
4,15660.0,4,3,34,0,484.62,0,3,858.0899999999999,0,0,0,1
5,14676.0,15,3,18,0,1144.77,0,3,1399.7200000000003,0,0,0,1
6,14560.0,3,3,12,0,562.28,0,3,911.3299999999999,0,0,0,1
7,16389.0,13,3,16,0,670.1700000000001,0,3,692.1,0,0,0,1
8,17961.0,3,3,68,0,263.96,0,3,422.04999999999995,0,0,0,1
9,13094.0,13,3,9,0,481.44000000000005,0,3,774.7800000000002,0,0,0,1
10,17770.0,6,3,38,0,1143.2699999999995,0,3,0.0,0,0,0,1
11,15104.0,4,3,69,0,1027.44,0,3,-24.9,0,0,0,1
12,14239.0,8,3,50,0,872.7099999999998,0,3,1085.8099999999997,0,0,0,1
13,16709.0,7,3,50,0,1984.5900000000001,0,3,1045.2800000000002,0,0,0,1
14,15281.0,5,3,55,0,887.0399999999998,0,3,376.84,0,0,0,1
15,18218.0,14,3,24,0,626.38,0,3,0.0,0,0,0,1
16,15596.0,6,3,39,0,551.9199999999997,0,3,16.9,0,0,0,1
17,17700.0,14,3,65,0,1109.6699999999998,0,3,1409.0700000000004,0,0,0,1
18,15220.0,11,3,58,0,838.1500000000001,0,3,920.7700000000002,0,0,0,1
19,14447.0,4,3,39,0,601.0300000000001,0,3,562.2,0,0,0,1
20,16449.0,5,3,40,0,707.6899999999998,0,3,-33.0,0,0,0,1
21,16356.0,5,3,32,0,210.31999999999996,0,3,0.0,0,0,0,1
22,16838.0,5,3,12,0,190.77999999999997,0,3,0.0,0,0,0,1
23,15811.0,12,3,30,0,356.11,0,3,917.8800000000005,0,0,0,1
24,14817.0,8,3,63,0,1110.3399999999997,0,3,0.0,0,0,0,1
25,16782.0,12,3,28,0,426.51,0,3,919.8000000000001,0,0,0,1
26,17940.0,6,3,11,0,293.6400000000001,0,3,644.5,0,0,0,1
27,14407.0,6,3,37,0,972.9799999999999,0,3,1138.0999999999997,0,0,0,1
28,14336.0,6,3,59,0,1114.39,0,3,500.5199999999999,0,0,0,1
29,14032.0,7,3,58,0,885.4,0,3,1251.0499999999995,0,0,0,1
30,12924.0,6,3,14,0,593.33,0,3,278.43,0,0,0,1
31,14825.0,11,3,15,0,388.1,0,3,1099.9499999999996,0,0,0,1
